Dataset,Series ID,Partition,Time,Value
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2022-06-01,24.71
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2022-07-01,24.74
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2022-08-01,24.61
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2022-09-01,24.545
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2022-10-01,24.55
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2022-11-01,24.485
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2022-12-01,24.34
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2023-01-01,24.115
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2023-02-01,23.79
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2023-03-01,23.495
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2023-04-01,23.49
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2023-05-01,23.505
